"ano","regiao","uf","municipio","afd1","afd2","afd3","afd4","afd5","media_aluno_turma","MIRD","aprovacao","reprovacao","abandono","superior","salario_medio","salario_medio_pad","gestao.1","gestao.2","gestao.3","gestao.4","gestao.5","gestao.6","X5LP","X5LP_SAEB","X5MT","X5MT_SAEB","X9LP","X9LP_SAEB","X9MT","X9MT_SAEB","gasto_fund"
2013,"Nordeste","BA",2915353,5.25820895522388,0,6.1910447761194,0.301492537313433,88.2492537313433,11.1671641791045,2.44698370548387,91.7298507462687,4.74776119402985,3.52238805970149,11.7686567164179,1336.324,2529.10133333333,44.8,38.7666666666667,2.93333333333333,0.966666666666667,12.5333333333333,0,-1.796755325,150.995654,-1.56937145,162.24851575,-0.7379858,209.326823636364,-0.536712845454545,219.966201818182,20980809.82
2013,"Nordeste","BA",2915403,13.0733333333333,0.4,3.02,2.70666666666667,80.8,15.78,3.37752270941176,74.8133333333333,10.86,14.3266666666667,19.0866666666667,1402.80133333333,2696.72966666667,59.5333333333333,16.4,0,6.03333333333333,18.0333333333333,0,-1.62242351937984,160.600175736434,-1.46092930232558,168.309592713178,-0.489988720588235,222.989813235294,-0.564263470588235,218.426332352941,12611693.04
2013,"Nordeste","BA",2915502,15.9970588235294,0,8.21764705882353,1.74117647058824,74.0441176470588,11.2147058823529,3.29521042205128,72.8121212121212,19.9030303030303,7.28484848484849,25.7352941176471,2394.97233333333,4493.062,47.3333333333333,21.1333333333333,0,10.0666666666667,21.4666666666667,0,-1.47278809859155,168.844092206573,-1.14075612676056,186.204813239437,-0.250886897590361,236.162739759036,-0.201985277108434,238.674906626506,27612507.68
2013,"Nordeste","BA",2915601,19.4828571428571,0.0742857142857143,15.7228571428571,3.83285714285714,60.8871428571429,16.6971428571429,3.25642660225352,84.44,10.04,5.52,39.9257142857143,1591.142,1929.19533333333,28.9,18.7,15.7666666666667,15,15.7666666666667,5.86666666666667,-1.33934691460396,176.195816831683,-1.10589983292079,188.153017215347,-0.481374745283019,223.464388522013,-0.422603871069182,226.344017138365,NA
2013,"Nordeste","BA",2915700,0.947058823529412,0,1.45882352941176,0,97.5941176470588,20.3705882352941,3.0080322575,81.2176470588235,10.5764705882353,8.20588235294118,2.41764705882353,1891.64233333333,2862.60766666667,20.3666666666667,16,0,26.5333333333333,37.0666666666667,0.0333333333333333,-1.53914807801418,165.188096950355,-1.33905891489362,175.12121177305,-0.890690593406593,200.913797802198,-0.678936296703297,212.017,17359155.72
2013,"Nordeste","BA",2915809,18.625,0,19.6555555555556,2.66111111111111,59.0583333333333,17.9555555555556,2.71633440918919,64.3277777777778,15.6277777777778,20.0444444444444,39.6083333333333,2782.87333333333,2769.353,35.7,28.5666666666667,7.13333333333333,11.9,11.9,4.8,-1.849372,148.096819506579,-1.66632846710526,156.829360657895,-0.64437919072165,214.483921649485,-0.627306963917526,215.795797938144,35077894.12
2013,"Nordeste","BA",2915908,2.73571428571429,0,4.44285714285714,10.3571428571429,82.4642857142857,11.9714285714286,3.9250080625,80.65,13.5285714285714,5.82142857142857,17.6571428571429,1815.73266666667,2662.86966666667,34.6333333333333,45.2333333333333,0,6.73333333333333,13.4,0,-1.68227520792079,157.302741188119,-1.42457402970297,170.341574059406,-0.616613783783784,216.013618918919,-0.468651243243243,223.770321621622,NA
2013,"Nordeste","BA",2916005,21.448275862069,0.537931034482759,21.748275862069,3.31379310344828,52.951724137931,14.9,3.59512341785714,84.7344827586207,13.6689655172414,1.59655172413793,46.2896551724138,1365.44366666667,2505.27566666667,34.5333333333333,28.8,3.9,3.1,29.6,0.0666666666666667,-0.823512948717949,204.614844871795,-0.350058858974359,230.398725641026,0.0597720236220472,253.27798503937,0.210187275590551,261.712187401575,25525078.54
2013,"Nordeste","BA",2916104,16.4611111111111,0.472222222222222,7.92222222222222,2.15,72.9944444444444,24.8,2.6891358305,78.6111111111111,15.4222222222222,5.96666666666667,27.0666666666667,1386.73266666667,2000.78833333333,13,67.4666666666667,6.5,3.26666666666667,6.5,3.26666666666667,-1.64967014979757,159.099066032389,-1.32461379352227,175.928584129555,-0.847591851485148,203.288253465347,-0.557447361386139,218.807303465347,23543000.3
2013,"Nordeste","BA",2916203,22.52,0,3.96,2.42,71.1,18.91,3.06325565846154,85.62,7.71,6.67,28.4,1628.79066666667,1647.73,35.1666666666667,37.4333333333333,7.8,13.6666666666667,5.93333333333333,0,-1.58328730434783,162.756319478261,-1.3556874173913,174.191808173913,-0.651905022988506,214.069303448276,-0.708160482758621,210.383591954023,12826318.9
