"ano","regiao","uf","municipio","ef_LP5","ef_LP9","ef_MT5","ef_MT9","ef_abandono"
"2013","Norte","RO","1100304",0.758759520908511,0.975732403692325,0.859689468925754,0.97646689470204,0.865156729166084
"2015","Norte","RO","1100304",0.946074214710983,0.978611266028737,0.956187511367733,0.978484078918303,0.778827345099071
"2013","Norte","RO","1100320",0.691711963666518,0.954578204264815,0.783935025453647,0.971118357272282,0.855346915291833
"2015","Norte","RO","1100320",0.889782097427996,0.966411798398196,0.921458888514863,0.972022377018047,0.782966490082983
"2013","Norte","RO","1100338",0.697366733508717,0.972421871852162,0.789223586969242,0.975282256605521,0.330305325559988
"2015","Norte","RO","1100338",0.868142936322777,0.959208497864948,0.911320119584511,0.97194378183979,0.457075112720828
"2013","Norte","RO","1100346",0.722823243698615,0.93938710003113,0.834747483741832,0.966622081820701,0.610381604999082
"2015","Norte","RO","1100346",0.887131864504913,0.96199068039157,0.931642401573703,0.971963509398442,0.616130753115484
"2013","Norte","RO","1100379",0.702744593049072,0.973303474311466,0.819443860544852,0.975493376435339,0.46703235965958
"2015","Norte","RO","1100379",0.915789693789975,0.969845851613264,0.941721900403733,0.974026617667564,0.489468170104214
"2013","Norte","RO","1100403",0.636047107652629,0.939308742550694,0.741091230676936,0.965716863523374,0.477183654526065
"2015","Norte","RO","1100403",0.900511379028355,0.968066915719512,0.930990339403977,0.974232040927411,0.414077110325178
"2013","Norte","RO","1100452",0.724547608433197,0.960884670326993,0.817979590302009,0.974429373049078,0.575119274348496
"2015","Norte","RO","1100452",0.903161987398068,0.970046929198228,0.926282804173268,0.974124006848828,0.394911990888967
"2013","Norte","RO","1100502",0.72317145240046,0.95008278079114,0.824304381094077,0.971256748289665,0.489662833934781
"2015","Norte","RO","1100502",0.921402819631124,0.971336874902188,0.954336799178993,0.976231236704034,0.818572455094182
"2013","Norte","RO","1100601",0.690188018802855,0.943149985791196,0.802276571309381,0.965992115893908,0.356970278835039
"2015","Norte","RO","1100601",0.904076029817861,0.967983137412689,0.913028264214165,0.96955904209632,0.451098398436135
"2013","Norte","RO","1100700",0.649856194471581,0.950062977377341,0.769470919749933,0.968343705043963,0.562113557737487
"2015","Norte","RO","1100700",0.91888571759538,0.973414621953681,0.935533483401261,0.974836831407706,0.383641132964193
"2013","Norte","RO","1100809",0.62508683445411,0.964173222526422,0.707467502132014,0.970613854097686,0.173379631293808
"2015","Norte","RO","1100809",0.885349784795912,0.961397635159626,0.915508052625906,0.970390285230846,0.213071652141479
"2015","Norte","RO","1100908",0.787533935291973,0.897878416434168,0.845263092657847,0.950215059814834,0.722091909652544
"2013","Norte","RO","1100924",0.68012624756043,0.951042745977222,0.779322392843413,0.967859081369066,0.464405785711468
"2015","Norte","RO","1100924",0.877104170980262,0.962534148045672,0.93132410033103,0.974673618884165,0.642232130949974
"2013","Norte","RO","1100940",0.662599342903599,0.953290481770055,0.746458001113138,0.971224149484869,0.155858155113361
"2015","Norte","RO","1100940",0.887587449593007,0.963483944127087,0.927166093572266,0.972843312963288,0.222063787292653
"2013","Norte","RO","1101005",0.652848470822469,0.911911775719489,0.766330374530773,0.955376556283894,0.231610301992349
"2015","Norte","RO","1101005",0.866865120386827,0.955575036284487,0.925522065292274,0.971014553672997,0.208193653420188
"2013","Norte","RO","1101104",0.605827026598304,0.930655665521054,0.695684561335864,0.966084477229944,0.484917347197957
"2015","Norte","RO","1101104",0.900392983736116,0.967095917217521,0.90360984350707,0.969392409422345,0.558459398890377
"2013","Norte","RO","1101203",0.756948445102258,0.97426102286513,0.874657925063253,0.979640454478373,0.393596282883878
"2015","Norte","RO","1101203",0.947553651929245,0.978841938466753,0.957572439371826,0.978373896919744,0.688312447763834
"2013","Norte","RO","1101302",0.768436622036538,0.967807913697005,0.861437352046582,0.972208756135492,0.559190609750198
"2015","Norte","RO","1101302",0.901687723580079,0.966084678783964,0.955852693248418,0.977149170663283,0.646016864562104
"2013","Norte","RO","1101401",0.683065446159343,0.973263737165411,0.792246214647943,0.97607115478386,0.365591672196693
"2015","Norte","RO","1101401",0.92103605057865,0.972252526931699,0.960421764369327,0.979467880593869,0.306314644129341
"2015","Norte","RO","1101435",0.887147900128517,0.961987845367963,0.938983481051092,0.974268535664503,0.239003442512027
"2013","Norte","RO","1101450",0.626715553586211,0.946397523039825,0.737021757372771,0.962068106879294,0.273734566782286
"2015","Norte","RO","1101450",0.908354397677587,0.970722874142863,0.951871183784307,0.976652580441042,0.12316388052979
"2013","Norte","RO","1101468",0.737933361873661,0.958537800873345,0.852048048218364,0.967357556557661,0.810100097245165
"2015","Norte","RO","1101468",0.937103081211944,0.976312079988428,0.940475113174927,0.974341162641544,0.815227371508449
"2013","Norte","RO","1101476",0.713038416315152,0.920565990575121,0.8342202271173,0.964777892082418,0.751666189243663
"2015","Norte","RO","1101476",0.912244372417106,0.96574553889095,0.951695024681006,0.973649152776793,0.735336438203561
"2013","Norte","RO","1101484",0.664278640176793,0.96211197896409,0.807182529490967,0.968944389970642,0.769150252397952
"2015","Norte","RO","1101484",0.898697279517152,0.965721104654989,0.92991591900377,0.971544439617065,0.719599981725399
"2013","Norte","RO","1101492",0.687514730255566,0.943431939474222,0.79173278893656,0.967517157549266,0.397833309563643
"2015","Norte","RO","1101492",0.933739342963285,0.975301176693139,0.949562270992013,0.97686321796805,0.550343294239958
"2013","Norte","RO","1101500",0.620100235028783,0.956324283147486,0.716347456593771,0.968167676529417,0.679046325580104
