"ano","regiao","uf","municipio","ef_LP5","ef_LP9","ef_MT5","ef_MT9","ef_aband"
"2013","Norte","RO","1100148",0.879154316963918,0.936200515682588,0.927807982982999,0.963686946414242,0.860531345822088
"2015","Norte","RO","1100148",0.965672102090968,0.966221493138875,0.972381628182321,0.989229555307387,0.746470644296675
"2013","Norte","RO","1100155",0.842214340039949,0.952513270016014,0.893995044860144,0.98686829616569,0.2500241980833
"2015","Norte","RO","1100155",0.961289576557812,0.966370509970079,0.96431960291589,0.987667925002769,0.457953186460076
"2013","Norte","RO","1100189",0.862971311729456,0.937310924143311,0.916496479002485,0.96054870512538,0.325060282046459
"2015","Norte","RO","1100189",0.965302218916846,0.953744186843692,0.970217401032899,0.96677847002834,0.476584225567739
"2013","Norte","RO","1100205",0.776566507748568,0.915953781253067,0.823626380260615,0.963898994827406,0.31762064957578
"2015","Norte","RO","1100205",0.961026863516325,0.946625602206294,0.960893176021811,0.971433921848071,0.381603297334274
"2013","Norte","RO","1100254",0.885719753096273,0.952180794186628,0.937549833720532,0.982253864571106,0.61235589487706
"2015","Norte","RO","1100254",0.967108699890346,0.954518432713608,0.972197784968273,0.978531210795664,0.426445727538614
"2013","Norte","RO","1100262",0.730700118713376,0.902645389523147,0.794674111407358,0.906085014029811,0.208314190314218
"2013","Norte","RO","1100288",0.834014791547056,0.955417252656698,0.876197102440935,0.990141207531812,0.745604775793489
"2015","Norte","RO","1100288",0.971382189247633,0.973946913751951,0.969940164577964,0.993797644081565,0.834091061597307
"2013","Norte","RO","1100296",0.879852316810291,0.948538961453529,0.927112692402116,0.994585441019539,0.880639830212208
"2015","Norte","RO","1100296",0.974142031516701,0.964690896017956,0.974746126057246,0.987838420127911,0.916728448253584
"2013","Norte","RO","1100304",0.831327841988566,0.958901102949409,0.888525853823691,0.991789368021707,0.860053770566488
"2015","Norte","RO","1100304",0.963378227440223,0.961741829980049,0.966585089627986,0.982400395132055,0.759810976890128
"2013","Norte","RO","1100320",0.779957325320283,0.912997651200095,0.832578941703085,0.977135171310299,0.870321469940532
"2015","Norte","RO","1100320",0.949099148983889,0.935345784357091,0.950697846688674,0.984037012700258,0.800710595529663
"2013","Norte","RO","1100338",0.800919107101817,0.904527628629669,0.859708024243858,0.907299529702054,0.340120536113291
"2015","Norte","RO","1100338",0.951074939194272,0.880139148745594,0.959018219147461,0.910344620925616,0.472633801178069
"2013","Norte","RO","1100346",0.820106795965481,0.897706640199025,0.883305431366075,0.97885660411354,0.630298542570927
"2015","Norte","RO","1100346",0.951515268919154,0.927247652877438,0.956525790215707,0.983999475840574,0.641382521787381
"2013","Norte","RO","1100379",0.781618701302745,0.9542302483536,0.8526103406109,0.9860618704473,0.477576622991898
"2015","Norte","RO","1100379",0.955073571645067,0.948015721796725,0.957013700773865,0.983709014863495,0.496353804354386
